,Building,Ecost_base (€),Ecost_SC (€),Ecost_EC (€),Ecost_EC_BESS (€),Savings_SC (€),Savings_SC (%),Savings_EC (€),Savings_EC (%),Savings_EC_BESS (€),Savings_EC_BESS (%),Income_PV_SC(€),Income_PV_EC(€),Income_PV_EC_B(€),incomeEC_total,incomeEC_b_total,PV_Power_W,PV_Investment_€
15,B4007,2254.8579681,1314.680184,1309.7730833886908,566.6787214375739,940.1777841,0.41695654333927623,945.0848847113093,0.41913277824219747,1688.179246662426,0.7486854030477708,1623.7531478,1570.040346644225,1484.3467338743226,5275416.328113,2804327.871184995,24523.2,26975.520000000004
16,B2642,1740.1195569,1032.3062991000002,1017.7019916462184,451.96880898054025,707.8132577999997,0.4067612797025049,722.4175652537815,0.4151539831784656,1288.1507479194597,0.740265657501306,1046.5031777,1014.3613714421998,958.9970040494094,5275416.328113,2804327.871184995,16254.4,17879.840000000004
17,B2073,1852.2106787999996,1088.8462998,1078.5126918558549,476.2974566784044,763.3643789999996,0.4121369063127117,773.6979869441448,0.41771597356592505,1375.9132221215953,0.742849200617402,1196.4848691,1157.990846252468,1094.7871079651377,5275416.328113,2804327.871184995,18195.2,20014.72
18,B2656,2270.0574592,1323.8748099,1319.2402124279176,569.5473565915006,946.1826492999999,0.4168099998814338,950.8172467720822,0.4188516210982446,1700.5101026084992,0.7491044315714295,1613.4312457,1560.1260424898378,1474.9735575596783,5275416.328113,2804327.871184995,24342.4,26776.64
19,B1963,2177.0995834,1260.1778211,1256.0734465310575,546.4088992334562,916.9217623,0.4211666610436043,921.0261368689426,0.4230519099317295,1630.6906841665439,0.7490197952359517,1612.9476181,1557.0298322380165,1472.04634006205,5275416.328113,2804327.871184995,23297.6,25627.360000000004
20,B2133,2419.7687343999996,1424.3240861999998,1418.0138825676363,609.0901457563809,995.4446481999998,0.4113800769670776,1001.7548518323633,0.41398784833905056,1810.6785886436187,0.748285802234977,1606.0388107,1560.2773174895776,1475.1165758918253,5275416.328113,2804327.871184995,25147.2,27661.92
21,B3123,916.9817189,637.7395617,547.7001910763192,263.71053900156346,279.24215720000007,0.3045231452759773,369.2815278236808,0.40271416562880485,653.2711798984366,0.712414616817108,254.49362580000002,241.96548584124537,228.7588846913581,5275416.328113,2804327.871184995,3507.2000000000003,3857.920000000001
22,B1416,1762.8862629000002,1038.6574686000001,1026.7250948820717,455.5352122775108,724.2287943000001,0.410819920457388,736.1611680179285,0.41758857818026307,1307.3510506224893,0.7415969357387004,1110.7615526,1072.8005462560384,1014.2465385283397,5275416.328113,2804327.871184995,16798.399999999998,18478.24
23,B1159,4701.1867514000005,2349.4606389,1323.6102083252945,601.8785245037345,2351.7261125000005,0.5002409469906004,3377.576543074706,0.7184518977189904,4099.308226896266,0.871973066306184,1175.7066304,1174.3832645528637,1110.284819610893,5275416.328113,2804327.871184995,31934.4,35127.840000000004
24,B2618,2602.4489923,1512.7659864,1509.8730207582457,645.642720940791,1089.6830059000001,0.4187144528573284,1092.5759715417544,0.41982608488174605,1956.806271359209,0.751909557939046,2005.0311854,1940.9877380637722,1835.0476251410203,5275416.328113,2804327.871184995,29744.0,32718.4
25,B3071,2316.7325308,1350.0769365,1345.0302508479153,583.0595538153935,966.6555942999998,0.41724954497280714,971.7022799520846,0.41942790850204115,1733.6729769846065,0.7483267722691946,1668.3658205000002,1615.6121564230377,1527.4312107455726,5275416.328113,2804327.871184995,25364.8,27901.28
26,B3133,7137.2882466,2940.2244135,1979.4297863929717,903.8682102120107,4197.0638331,0.5880474051330855,5157.858460207029,0.7226636058399469,6233.420036387989,0.8733597160458543,3290.1431976,3281.711782130725,3102.5942586343285,5275416.328113,2804327.871184995,70028.8,77031.68000000001
27,B4374,932.7597964999999,678.7175895,562.7421499881922,269.75008787811953,254.04220699999985,0.2723554423692401,370.0176465118077,0.3966912466641756,663.0097086218803,0.7108043368825453,165.48803850000002,157.4514283150821,148.8576480616386,5275416.328113,2804327.871184995,2416.0,2657.6000000000004
28,B4205,3589.063082,2072.3968197000004,2070.6594727065153,873.7172540771064,1516.6662622999997,0.4225799958508502,1518.4036092934848,0.42306406284933745,2715.3458279228935,0.7565611876651026,3125.4463244999997,3023.681323531378,2858.6472356927434,5275416.328113,2804327.871184995,45582.4,50140.64
29,B1422,2416.6739694,1457.1705402,1438.2544292456375,618.3845915467539,959.5034291999998,0.39703470197025403,978.4195401543623,0.40486203457443604,1798.289377853246,0.7441174939703251,1172.7596658,1140.2473260972517,1078.0120383014048,5275416.328113,2804327.871184995,19150.4,21065.44
30,B2316,1787.4343188,1087.244523,1061.489023696477,468.5836311641345,700.1897958,0.39172896505090865,725.945295103523,0.4061381654520815,1318.8506876358656,0.737845678447799,796.5627345,770.3024124902671,728.2589090906562,5275416.328113,2804327.871184995,12742.4,14016.64
31,B4094,3522.9204347,2030.9181687,2029.2679729554811,857.7589641407,1492.002266,0.42351290460724067,1493.6524617445189,0.42398132158545704,2665.1614705593,0.756520483490924,3071.5134195,2970.999415879072,2808.840733761051,5275416.328113,2804327.871184995,44438.4,48882.240000000005
32,B3887,791.4311395,620.1086328,481.3428978917727,237.90285333413996,171.32250669999996,0.21647177897022837,310.0882416082273,0.39180697616236176,553.52828616586,0.6994017022321877,80.71263289999999,77.89296689468668,73.64152854353922,5275416.328113,2804327.871184995,1384.0,1522.4
33,B3796,1285.104728,807.6408903000001,764.4268752571313,351.198995643049,477.4638376999999,0.3715369084689881,520.6778527428687,0.4051637515591404,933.905732356951,0.7267156613845647,506.17398650000007,489.9296737436086,463.18905918806234,5275416.328113,2804327.871184995,8331.2,9164.320000000002
34,B2931,2345.1772995,1352.8759095,1349.7171353867038,585.1794192455886,992.3013900000001,0.42312425171928886,995.4601641132963,0.424471175090059,1759.9978802544115,0.7504754035567585,1798.2654784000001,1735.0410889891884,1640.3416505081968,5275416.328113,2804327.871184995,25937.6,28531.360000000004
35,B4321,5251.4411923,3051.5241654,3048.565481061146,1272.5199903904693,2199.9170268999997,0.41891681661134456,2202.875711238854,0.4194802208713394,3978.9212019095303,0.7576817593889617,4861.807743899999,4718.827305160567,4461.271274399464,5275416.328113,2804327.871184995,72731.2,80004.32
36,B3685,1056.6589902999997,674.240175,624.70856285798,292.6060136477754,382.41881529999966,0.36191317994789013,431.95042744201965,0.40878886320683566,764.0529766522243,0.7230837797871756,402.765672,379.90468670415135,359.1692927497985,5275416.328113,2804327.871184995,5705.599999999999,6276.16
37,B4212,1602.5791772,964.1325285,944.595045396606,421.7188234924456,638.4466487,0.3983869613328456,657.984131803394,0.4105782361112498,1180.8603537075544,0.7368499294810096,893.6420278,869.2056615488405,821.7639677494569,5275416.328113,2804327.871184995,14280.0,15708.000000000002
38,B2178,1437.5902106999997,868.5003465,843.3344068609804,383.5123960306063,569.0898641999997,0.3958637586457237,594.2558038390193,0.4133694006928865,1054.0778146693933,0.733225509483774,763.1212307999999,737.0718765188132,696.8421129302591,5275416.328113,2804327.871184995,11696.0,12865.6
39,B1538,3493.4942060000003,2021.6318922,2019.8242199139531,851.0691587770523,1471.8623138000003,0.4213152296838245,1473.6699860860472,0.42183266929570146,2642.425047222948,0.7563845512280055,2983.2516585,2881.257813019037,2723.997273920892,5275416.328113,2804327.871184995,43972.8,48370.08
40,B2636,4665.357604299999,2709.0931158000003,2706.8091937307727,1129.8156759176259,1956.264488499999,0.41931715731650143,1958.5484105692267,0.41980670651357105,3535.5419283823735,0.7578287085911078,4229.3589432,4103.180586104473,3879.226871142844,5275416.328113,2804327.871184995,62056.0,68261.6
41,B3476,1087.4636954,717.7646997000002,653.0397459539333,306.4969533443182,369.69899569999984,0.339964448711103,434.4239494460667,0.3994836345191949,780.9667420556818,0.7181543120558338,332.30765210000004,323.4206764298092,305.7682089202998,5275416.328113,2804327.871184995,5913.6,6504.960000000001
42,B1988,1378.6525879000003,833.3751672000001,809.3551112963078,367.30622415397403,545.2774207000002,0.395514740613936,569.2974766036925,0.4129375896438575,1011.3463637460263,0.7335759368402852,730.7718930999999,704.0252909470431,665.5992270617531,5275416.328113,2804327.871184995,10841.6,11925.760000000002
43,B2749,2300.0651238,1355.9989581,1347.634177352159,577.6581823578248,944.0661657,0.410451928482913,952.430946447841,0.4140886867039243,1722.4069414421751,0.7488513797368224,1574.2456287,1519.9110965589603,1436.9535641416637,5275416.328113,2804327.871184995,24043.2,26447.520000000004
44,B1905,903.4149339999999,669.3436260000001,546.4940706638162,263.1842645303184,234.07130799999982,0.25909612426220957,356.92086333618374,0.39507965819854796,640.2306694696815,0.7086784215919123,139.9083397,133.41115112783177,126.1295016158489,5275416.328113,2804327.871184995,2123.2,2335.52
45,B3632,721.0303805000001,591.2733897,438.95364985689946,220.88879506184824,129.75699080000004,0.17996050417462267,282.07673064310063,0.3912133777879011,500.1415854381519,0.6936484217091208,42.9669378,39.32190477526948,37.17569490977837,5275416.328113,2804327.871184995,432.0,475.2000000000001
46,B2921,1748.2227756,1030.2527016000001,1019.4378582954708,450.45454930290555,717.9700739999998,0.41068568835776004,728.7849173045291,0.4168718812477466,1297.7682262970943,0.7423357276944827,1106.3885617,1066.357614352827,1008.1552651750482,5275416.328113,2804327.871184995,16443.2,18087.520000000004
