,Demand_(kWh_year),PV_gen_(kWh_year),EC_to_GRID_(kWh_year),EC_Self_consumed_energy_(kWh_year),SC RATIO(%),GRID_to_EC_(kWh_year),SS RATIO(%),AVERAGE SOC(%)
Without BESS,2875212.877,4376804.539999999,3554979.713,821824.8269999991,0.1877682266798232,2053388.0500000003,0.2858309496225867,
With BESS,2875212.877,4376804.539999999,2411749.626092627,1965054.913907372,0.4489702238125014,955022.5055431824,0.6678428532430427,0.5573969739196092
