,Energy_cost_base (€),Energy_cost_EC (€),Savings (€),Savings (%),Income_PV_total(€)
Without BESS,455146.19842910004,321551.42384969996,133594.77457940008,0.2935205765542842,341743.4882253691
With BESS,455146.19842910004,144520.66529040143,310625.5331386986,0.6824741900751831,330181.85175935505
