,Demand_(kWh_year),PV_gen_(kWh_year),EC_to_GRID_(kWh_year),EC_Self_consumed_energy_(kWh_year),SC RATIO(%),GRID_to_EC_(kWh_year),SS RATIO(%),AVERAGE SOC(%)
Without BESS,606605.581,1635328.3299999998,1360370.568,274957.7619999999,0.16813612101980763,331647.819,0.45327272054887335,
With BESS,606605.581,1635328.3299999998,1030828.4847749508,604499.8452250491,0.3696504451953383,17152.211854834066,0.9717242762149363,0.6446911194159584
