,Building,Ecost_base (€),Ecost_SC (€),Ecost_EC (€),Ecost_EC_BESS (€),Savings_SC (€),Savings_SC (%),Savings_EC (€),Savings_EC (%),Savings_EC_BESS (€),Savings_EC_BESS (%),Income_PV_SC(€),Income_PV_EC(€),Income_PV_EC_B(€),incomeEC_total,incomeEC_b_total,PV_Power_W,PV_Investment_€
10,Alegria_Ernesto6,391.2794497000001,256.3880733,256.17324173703776,7.604556544740601,134.89137640000013,0.34474434193623865,135.10620796296234,0.34529339086565963,383.6748931552595,0.9805648966472144,1280.5867433,1264.7712631105435,1197.922704468667,127679.1579222,91635.97396047912,10184.0,11202.4
11,Alegria_Ernesto7,326.1196871,212.7171645,212.6311648471192,6.344514269247572,113.40252260000003,0.3477328327168017,113.48852225288081,0.34799653851649,319.77517283075247,0.9805454423016722,1053.877334,1059.9592889468645,1003.935917170609,127679.1579222,91635.97396047912,8521.6,9373.760000000002
12,Alegria_Ernesto9,426.93145910000004,279.2955744,279.12763275009274,8.363769725145795,147.63588470000002,0.34580699443237634,147.8038263499073,0.34620036354661615,418.56768937485424,0.9804095726682284,956.0583377,945.1699200920556,895.2136563211501,127679.1579222,91635.97396047912,7289.6,8018.560000000001
13,AugustoTroni1,4424.936154999999,2962.7903457,2909.4501294079,128.6440445187752,1462.1458092999992,0.33043319905256335,1515.4860255920994,0.34248765914501644,4296.292110481224,0.970927480078235,3432.0330928999997,3312.935867991898,3137.8330694798824,127679.1579222,91635.97396047912,29862.4,32848.64
14,AugustoTroni2,1476.1247047999998,981.2543382,973.9028237634717,53.202578408983506,494.8703665999998,0.335249701458692,502.2218810365281,0.34022998152081885,1422.9221263910163,0.9639579378110931,2528.0526600000003,2501.986545307185,2369.745879209338,127679.1579222,91635.97396047912,8622.4,9484.64
15,AugustoTroni3,4535.9294664,3059.9226882000003,2962.6094710384327,145.20038441493796,1476.0067781999996,0.32540337964546256,1573.3199953615672,0.3468572443676584,4390.729081985062,0.967988835476717,3950.3760537999997,3797.9240603887706,3597.187566231011,127679.1579222,91635.97396047912,31329.6,34462.56
16,AugustoTroni4,4382.2728803,2862.2054340000004,2859.0608551221303,88.16704217647298,1520.0674462999996,0.3468673649085813,1523.2120251778697,0.34758493292950626,4294.105838123527,0.9798809785276454,6610.5663012,6589.819426170409,6241.519347572538,127679.1579222,91635.97396047912,45227.2,49749.920000000006
17,AugustoTroni5,8112.878799199999,5412.3713433,5361.6320834333865,225.63235870597302,2700.5074558999986,0.3328667323572358,2751.2467157666124,0.3391208945507616,7887.246440494026,0.9721883730435832,7315.2362214,7198.5902846896815,6818.114068301405,127679.1579222,91635.97396047912,63787.2,70165.92000000001
18,Boavista_1,1885.3454016,1268.0069841,1236.4803004529078,71.05306798115396,617.3384175000001,0.3274404875499711,648.8651011470922,0.3441624545807003,1814.292333618846,0.9623129703868295,2310.6886973,2298.0633889803257,2176.6009319324116,127679.1579222,91635.97396047912,16339.2,17973.120000000003
19,Boavista_2,1930.8210341000001,1306.1216196,1265.605630877496,72.95236850663703,624.6994145000001,0.3235408168169179,665.2154032225042,0.3445246304417728,1857.8686655933632,0.9622169184931002,2265.181898,2256.1671253538884,2136.9190646301117,127679.1579222,91635.97396047912,16811.199999999997,18492.32
