,Date,Enet1_B1022,Enet1_B1031,Enet1_B1016,Enet1_B1015,Enet1_B1018,Enet1_B1021,Enet1_B1020,Enet1_B1024,Enet1_B1017,Enet1_B1013,Enet1_B1023,Enet1_B1019,Enet1_B1025,EC_demand,EC_surplus,EC_to_GRID,GRID_to_EC,EFF,NOM_CAP_kWh,SOC,ESOC_D,ESOC_C,DISC,CHAR,EC_to_GRID_B,GRID_to_EC_B
4876,2005-07-23 04:00:00,0.111,0.09,0.123,0.112,0.128,0.103,0.104,0.084,0.081,0.081,0.107,0.101,0.092,1.317,0.0,0.0,1.317,0.95,200.8456731780822,424.37945787310696,364.90344845710115,152.4263157894742,1.3863157894736842,0.0,0.0,0.0
4877,2005-07-23 05:00:00,0.111,0.09,0.123,0.112,0.128,0.103,0.104,0.084,0.081,0.081,0.107,0.101,0.092,1.317,0.0,0.0,1.317,0.95,200.8456731780822,422.9931420836333,363.5171326676275,153.81263157894784,1.3863157894736842,0.0,0.0,0.0
4878,2005-07-23 06:00:00,-4.102,-3.4780000000000006,-5.169,-3.392,-3.38,-2.981,-3.092,-3.094,-3.794,-3.232,-4.3870000000000005,-3.6590000000000007,-2.582,0.0,-46.342,46.342,0.0,0.95,200.8456731780822,467.0180420836333,362.13081687815384,155.1989473684215,0.0,44.024899999999995,2.3171000000000035,0.0
4879,2005-07-23 07:00:00,-11.953,-11.094000000000001,-14.178999999999998,-9.328000000000001,-9.177999999999999,-9.014,-9.307,-9.924,-12.583,-9.902000000000001,-13.894,-12.414,-9.062999999999999,0.0,-141.833,141.833,0.0,0.95,200.8456731780822,572.6333870836337,406.15571687815384,111.1740473684215,0.0,105.61534500000042,36.21765499999958,0.0
4880,2005-07-23 08:00:00,-10.285,-10.196,-11.177999999999999,-9.102,-8.933,-9.11,-9.194999999999999,-9.463999999999999,-10.885,-9.418999999999999,-11.267,-10.465,-9.117999999999999,0.0,-128.617,128.617,0.0,0.95,200.8456731780822,577.9141543336337,511.7710618781542,5.558702368421109,0.0,5.2807672500000535,123.33623274999994,0.0
4881,2005-07-23 09:00:00,-9.481,-8.407,-9.914,-8.883000000000001,-8.785,-8.955,-9.027,-9.24,-9.858,-9.187,-10.136,-9.771,-9.015,0.0,-120.659,120.659,0.0,0.95,200.8456731780822,578.1781926961337,517.0518291281543,0.27793511842105545,0.0,0.2640383625000027,120.3949616375,0.0
4882,2005-07-23 10:00:00,-10.855,-8.260000000000002,-11.242,-10.511000000000001,-10.465,-10.459,-10.555,-10.695,-10.966000000000001,-10.613,-11.248,-10.898,-10.331999999999999,0.0,-137.09900000000002,137.09900000000002,0.0,0.95,200.8456731780822,578.1913946142588,517.3158674906542,0.013896755921109616,0.0,0.013201918125054134,137.08579808187497,0.0
4883,2005-07-23 11:00:00,-10.035,-6.757,-10.236999999999998,-10.437,-10.398,-10.08,-9.769,-9.485,-8.879999999999999,-9.600000000000001,-9.187000000000001,-8.989999999999998,-9.495000000000001,0.0,-123.35,123.35,0.0,0.95,200.8456731780822,578.192054710165,517.3290694087793,0.0006948377960043217,0.0,0.0006600959062041057,123.3493399040938,0.0
4884,2005-07-23 12:00:00,-5.452,-5.358,-4.783,-5.753000000000001,-4.773000000000001,-7.078,-7.212999999999999,-5.973000000000001,-5.591999999999999,-4.933999999999999,-6.2139999999999995,-3.5940000000000003,-4.929,0.0,-71.64599999999999,71.64599999999999,0.0,0.95,200.8456731780822,578.1920877149603,517.3297295046856,3.474188974905701e-05,0.0,3.300479526160416e-05,71.64596699520473,0.0
4885,2005-07-23 13:00:00,-6.428000000000001,-5.0489999999999995,-6.623,-7.296999999999999,-7.244000000000001,-6.517,-6.486000000000001,-6.547,-5.77,-6.918,-5.8100000000000005,-6.0680000000000005,-5.9670000000000005,0.0,-82.724,82.724,0.0,0.95,200.8456731780822,578.1920893652001,517.3297625094808,1.7370945215589018e-06,0.0,1.6502397954809567e-06,82.72399834976021,0.0
4886,2005-07-23 14:00:00,-5.1690000000000005,-3.9490000000000007,-5.351000000000001,-6.655,-6.3740000000000006,-5.869999999999999,-6.073,-6.026999999999999,-4.824000000000001,-6.380999999999999,-4.845000000000001,-4.762999999999999,-4.712,0.0,-70.99300000000001,70.99300000000001,0.0,0.95,200.8456731780822,578.1920894477121,517.3297641597206,8.685469765623566e-08,0.0,8.251196277342388e-08,70.99299991748805,0.0
4887,2005-07-23 15:00:00,-3.8970000000000002,-2.5569999999999995,-4.029,-5.723999999999999,-5.345999999999999,-4.926,-5.177,-5.071999999999999,-3.5380000000000003,-5.409000000000001,-3.572,-3.4319999999999995,-3.468,0.0,-56.14699999999999,56.14699999999999,0.0,0.95,200.8456731780822,578.1920894518377,517.3297642422326,4.342723514128011e-09,0.0,4.12558733842161e-09,56.1469999958744,0.0
4888,2005-07-23 16:00:00,-2.2930000000000006,-0.9450000000000003,-2.429,-4.4559999999999995,-3.987,-3.662,-3.9719999999999995,-3.754999999999999,-2.013,-4.159000000000001,-2.0200000000000005,-1.8250000000000002,-1.814,0.0,-37.330000000000005,37.330000000000005,0.0,0.95,200.8456731780822,578.192089452044,517.3297642463582,2.1714186004828662e-10,0.0,2.0628476704587229e-10,37.32999999979372,0.0
4889,2005-07-23 17:00:00,-1.093,0.7549999999999999,-1.249,-2.787,-2.3980000000000006,-2.042,-2.3390000000000004,-2.0290000000000004,-0.36499999999999977,-2.375,-0.6769999999999996,-0.48699999999999966,-0.4620000000000002,0.7549999999999999,-18.302999999999997,17.548,0.0,0.95,200.8456731780822,578.1920894520542,517.3297642465645,1.0800249583553523e-11,0.0,1.0260237104375847e-11,17.547999999989738,0.0
4890,2005-07-23 18:00:00,0.6739999999999999,2.5409999999999995,0.673,-0.585,-0.5449999999999999,-0.09100000000000019,-0.3719999999999999,-0.09699999999999998,1.4929999999999999,-0.08999999999999986,1.2129999999999999,1.358,1.058,9.01,-1.7799999999999998,0.0,7.23,0.95,200.8456731780822,570.5815631362648,517.3297642465748,5.684341886080801e-13,7.610526315789475,0.0,0.0,0.0
4891,2005-07-23 19:00:00,4.204,5.129,4.456,4.218,4.598,3.949,4.2,4.549,4.118,4.475,4.36,4.945,4.445,57.646,0.0,0.0,57.646,0.95,200.8456731780822,509.90156313626477,509.7192379307853,7.610526315790025,60.68000000000001,0.0,0.0,0.0
4892,2005-07-23 20:00:00,1.4,4.035,1.137,1.498,1.207,2.062,3.108,3.156,2.873,2.479,3.252,2.644,2.643,31.494,0.0,0.0,31.494,0.95,200.8456731780822,476.74998418889635,449.0392379307853,68.29052631579003,33.15157894736842,0.0,0.0,0.0
4893,2005-07-23 21:00:00,1.329,1.492,1.067,1.16,0.999,1.834,2.22,1.627,0.927,0.812,1.964,0.885,1.303,17.619000000000003,0.0,0.0,17.619000000000003,0.95,200.8456731780822,458.20366839942267,415.8876589834169,101.44210526315845,18.546315789473688,0.0,0.0,0.0
4894,2005-07-23 22:00:00,0.759,0.813,0.772,0.73,0.761,0.765,0.693,0.783,0.834,0.78,0.743,0.804,0.773,10.01,0.0,0.0,10.01,0.95,200.8456731780822,447.66682629415953,397.3413431939432,119.98842105263213,10.536842105263158,0.0,0.0,0.0
4895,2005-07-23 23:00:00,0.356,0.691,0.26,0.35,0.245,0.593,0.669,0.729,0.626,0.597,0.725,0.655,0.726,7.2219999999999995,0.0,0.0,7.2219999999999995,0.95,200.8456731780822,440.0647210310016,386.80450108868007,130.52526315789527,7.6021052631578945,0.0,0.0,0.0
4896,2005-07-24 00:00:00,0.111,0.09,0.123,0.112,0.128,0.103,0.104,0.084,0.081,0.081,0.107,0.101,0.092,1.317,0.0,0.0,1.317,0.95,200.8456731780822,438.67840524152797,379.20239582552216,138.12736842105318,1.3863157894736842,0.0,0.0,0.0
4897,2005-07-24 01:00:00,0.111,0.09,0.123,0.112,0.128,0.103,0.104,0.084,0.081,0.081,0.107,0.101,0.092,1.317,0.0,0.0,1.317,0.95,200.8456731780822,437.2920894520543,377.8160800360485,139.51368421052683,1.3863157894736842,0.0,0.0,0.0
4898,2005-07-24 02:00:00,0.111,0.09,0.123,0.112,0.128,0.103,0.104,0.084,0.081,0.081,0.107,0.101,0.092,1.317,0.0,0.0,1.317,0.95,200.8456731780822,435.90577366258066,376.42976424657485,140.9000000000005,1.3863157894736842,0.0,0.0,0.0
