,Demand_(kWh_year),PV_gen_(kWh_year),EC_to_GRID_(kWh_year),EC_Self_consumed_energy_(kWh_year),SC RATIO(%),GRID_to_EC_(kWh_year),SS RATIO(%),AVERAGE SOC(%)
Without BESS,73771.641,100933.0,67173.14399999999,33759.856000000014,0.3344778813668475,40011.784999999996,0.45762647465033357,
With BESS,73771.641,100933.0,52748.767697472926,48184.232302527074,0.4773882902769865,26066.826719132503,0.6466551866572616,0.5496069701341458
