,Energy_cost_base (€),Energy_cost_EC (€),Savings (€),Savings (%),Income_PV_total(€)
Without BESS,11678.0507703,6060.4779141,5617.5728562,0.4810368585215261,6483.356896310302
With BESS,11678.0507703,3845.557392978317,7832.4933773216835,0.670702117278128,6465.737314273808
